# Title: March 2025 Global Gridded Average Temperature
# Units: Degrees Celsius
# Base Period: 1991-2020
# Missing: -999.00
Latitude,Longitude,Anomaly,Rank
-82.5,197.5,-0.68,58
-82.5,202.5,-0.69,59
-82.5,207.5,-1.19,49
-82.5,212.5,-0.7,58
-82.5,217.5,-1.21,56
-82.5,222.5,-0.76,60
-82.5,227.5,-0.91,56
-82.5,232.5,-0.58,69
-82.5,237.5,-0.57,73
-82.5,242.5,-0.63,58
-82.5,247.5,-0.39,86
-82.5,252.5,-1.1,53
-82.5,257.5,-0.74,57
-82.5,262.5,-0.64,61
-82.5,267.5,-1.21,28
-82.5,272.5,-0.28,67
-82.5,277.5,-0.22,75
-82.5,282.5,1.27,154
-82.5,287.5,0.94,135
-82.5,292.5,0.85,140
-82.5,297.5,0.2,103
-82.5,302.5,1.29,139
-82.5,307.5,1.2,146
-82.5,312.5,0.54,113
-82.5,317.5,2.3,161
-82.5,322.5,1.08,131
-82.5,327.5,1.12,126
-82.5,332.5,1.69,152
-82.5,337.5,0.79,103
-82.5,342.5,0.78,105
-82.5,347.5,0.91,106
-82.5,352.5,1.15,128
-82.5,357.5,1.01,118
-77.5,2.5,-0.06,83
-77.5,7.5,0.51,113
-77.5,12.5,-0.01,87
-77.5,17.5,0.51,120
-77.5,22.5,-0.46,67
-77.5,27.5,-1.25,34
-77.5,32.5,-1.29,36
-77.5,37.5,-2.05,17
-77.5,42.5,-2.02,18
-77.5,47.5,-1.27,32
-77.5,52.5,-0.77,59
-77.5,57.5,0.28,116
-77.5,62.5,0.38,110
-77.5,67.5,0.32,101
-77.5,72.5,1.22,138
-77.5,77.5,0.9,126
-77.5,82.5,2.33,163
-77.5,87.5,1.61,151
-77.5,92.5,1.77,154
-77.5,97.5,1.25,148
-77.5,102.5,0.32,114
-77.5,107.5,0.05,98
-77.5,112.5,0.1,80
-77.5,117.5,-0.38,62
-77.5,122.5,0.24,97
-77.5,127.5,0.27,108
-77.5,132.5,-0.29,56
-77.5,137.5,-0.12,63
-77.5,142.5,-0.78,30
-77.5,147.5,-0.07,77
-77.5,152.5,0.09,95
-77.5,157.5,-0.34,67
-77.5,162.5,-0.23,67
-77.5,167.5,-0.46,61
-77.5,172.5,-0.53,49
-77.5,177.5,-0.85,40
-77.5,182.5,-1.19,28
-77.5,187.5,-1.04,29
-77.5,192.5,-0.94,37
-77.5,197.5,-0.68,58
-77.5,202.5,-0.54,69
-77.5,207.5,-0.52,69
-77.5,212.5,-0.62,70
-77.5,217.5,0.28,104
-77.5,222.5,-0.13,89
-77.5,227.5,-0.57,64
-77.5,232.5,0.11,96
-77.5,237.5,0.28,115
-77.5,242.5,0.14,113
-77.5,247.5,0.09,114
-77.5,252.5,-0.23,109
-77.5,257.5,-0.68,81
-77.5,262.5,-0.3,104
-77.5,267.5,0.09,125
-77.5,272.5,0.08,124
-77.5,277.5,0.84,154
-77.5,282.5,0.87,150
-77.5,287.5,1.21,155
-77.5,292.5,-0.07,113
-77.5,297.5,0.94,142
-77.5,302.5,1.69,150
-77.5,307.5,1.62,150
-77.5,312.5,2.02,158
-77.5,317.5,2.64,160
-77.5,322.5,2.87,160
-77.5,327.5,2.88,161
-77.5,332.5,2.36,160
-77.5,337.5,2.02,155
-77.5,342.5,2,155
-77.5,347.5,1.85,154
-77.5,352.5,0.68,112
-77.5,357.5,0.39,105
-72.5,2.5,-0.14,87
-72.5,7.5,-0.27,70
-72.5,12.5,-0.29,62
-72.5,17.5,-0.67,37
-72.5,22.5,-1.05,15
-72.5,27.5,-2.17,4
-72.5,32.5,-1.72,18
-72.5,37.5,-2.59,6
-72.5,42.5,-3.06,6
-72.5,47.5,-2.69,11
-72.5,52.5,-1.21,44
-72.5,57.5,-2.11,15
-72.5,62.5,-0.86,53
-72.5,67.5,-1.6,33
-72.5,72.5,-0.42,79
-72.5,77.5,0.49,116
-72.5,82.5,0.52,116
-72.5,87.5,1.74,152
-72.5,92.5,1.3,146
-72.5,97.5,1.44,148
-72.5,102.5,1.77,154
-72.5,107.5,0.81,124
-72.5,112.5,0.75,131
-72.5,117.5,0.87,128
-72.5,122.5,1.44,145
-72.5,127.5,1.2,139
-72.5,132.5,0.89,130
-72.5,137.5,0.78,122
-72.5,142.5,0.93,135
-72.5,147.5,-0.4,68
-72.5,152.5,-0.57,60
-72.5,157.5,0.09,100
-72.5,162.5,0.27,118
-72.5,167.5,0.22,129
-72.5,172.5,0.19,121
-72.5,177.5,0.19,122
-72.5,182.5,0.18,114
-72.5,187.5,0.14,103
-72.5,192.5,0.13,158
-72.5,197.5,0.12,147
-72.5,202.5,0.12,145
-72.5,207.5,0.15,148
-72.5,212.5,0.13,145
-72.5,217.5,0.11,149
-72.5,222.5,0.08,147
-72.5,227.5,0.02,100
-72.5,232.5,0,76
-72.5,237.5,-0.02,92
-72.5,242.5,-0.01,107
-72.5,247.5,0.04,130
-72.5,252.5,0,124
-72.5,257.5,0.01,137
-72.5,262.5,0.19,140
-72.5,267.5,0.13,140
-72.5,272.5,-0.17,99
-72.5,277.5,-0.16,139
-72.5,282.5,-0.18,145
-72.5,287.5,-0.05,119
-72.5,292.5,0.08,137
-72.5,297.5,0.26,151
-72.5,302.5,-0,1
-72.5,307.5,-0,1
-72.5,312.5,-0,1
-72.5,317.5,-0,1
-72.5,322.5,-0.02,145
-72.5,327.5,0.29,160
-72.5,332.5,0.38,163
-72.5,337.5,0.34,164
-72.5,342.5,0.71,158
-72.5,347.5,0.56,150
-72.5,352.5,0.73,147
-72.5,357.5,0.39,130
-67.5,2.5,0.27,158
-67.5,7.5,0.26,158
-67.5,12.5,0.27,161
-67.5,17.5,0.22,165
-67.5,22.5,0.15,159
-67.5,27.5,0.12,159
-67.5,32.5,0.12,158
-67.5,37.5,0.03,147
-67.5,42.5,-0.18,121
-67.5,47.5,-0.83,24
-67.5,52.5,-1.79,5
-67.5,57.5,-1.21,7
-67.5,62.5,-0.55,33
-67.5,67.5,-0.4,66
-67.5,72.5,0.42,173
-67.5,77.5,0.29,151
-67.5,82.5,0.37,138
-67.5,87.5,0.4,131
-67.5,92.5,0.57,139
-67.5,97.5,0.76,141
-67.5,102.5,0.61,113
-67.5,107.5,0.52,125
-67.5,112.5,0.55,129
-67.5,117.5,-0.02,71
-67.5,122.5,0.51,145
-67.5,127.5,0.14,104
-67.5,132.5,0.22,94
-67.5,137.5,0.5,112
-67.5,142.5,0.18,95
-67.5,147.5,0.2,120
-67.5,152.5,0.25,118
-67.5,157.5,0.51,169
-67.5,162.5,0.55,172
-67.5,167.5,0.37,167
-67.5,172.5,0.27,163
-67.5,177.5,0.31,167
-67.5,182.5,0.38,166
-67.5,187.5,0.38,153
-67.5,192.5,0.38,144
-67.5,197.5,0.39,160
-67.5,202.5,0.36,148
-67.5,207.5,0.33,139
-67.5,212.5,0.31,105
-67.5,217.5,0.22,92
-67.5,222.5,0.13,80
-67.5,227.5,-0.03,64
-67.5,232.5,0.01,83
-67.5,237.5,0.02,91
-67.5,242.5,-0.05,86
-67.5,247.5,-0.1,86
-67.5,252.5,-0.11,87
-67.5,257.5,-0.14,86
-67.5,262.5,-0.16,83
-67.5,267.5,-0.16,85
-67.5,272.5,-0.19,87
-67.5,277.5,-0.22,86
-67.5,282.5,-0.23,90
-67.5,287.5,-0.13,85
-67.5,292.5,-0.07,128
-67.5,297.5,-0.05,98
-67.5,302.5,-0.02,1
-67.5,307.5,-0,129
-67.5,312.5,0.11,155
-67.5,317.5,0.12,146
-67.5,322.5,0.1,140
-67.5,327.5,0.24,149
-67.5,332.5,0.23,152
-67.5,337.5,0.23,160
-67.5,342.5,0.23,162
-67.5,347.5,0.28,164
-67.5,352.5,0.3,164
-67.5,357.5,0.27,158
-62.5,2.5,0.43,174
-62.5,7.5,0.39,174
-62.5,12.5,0.35,175
-62.5,17.5,0.32,174
-62.5,22.5,0.28,172
-62.5,27.5,0.26,171
-62.5,32.5,0.21,171
-62.5,37.5,0.19,166
-62.5,42.5,0.17,167
-62.5,47.5,0.14,162
-62.5,52.5,0.15,165
-62.5,57.5,0.17,170
-62.5,62.5,0.16,169
-62.5,67.5,0.19,164
-62.5,72.5,0.24,169
-62.5,77.5,0.26,169
-62.5,82.5,0.31,172
-62.5,87.5,0.37,175
-62.5,92.5,0.39,176
-62.5,97.5,0.43,176
-62.5,102.5,0.39,176
-62.5,107.5,0.32,174
-62.5,112.5,0.29,169
-62.5,117.5,0.25,167
-62.5,122.5,0.22,165
-62.5,127.5,0.23,155
-62.5,132.5,0.23,148
-62.5,137.5,0.13,141
-62.5,142.5,0.16,141
-62.5,147.5,0.25,145
-62.5,152.5,0.35,159
-62.5,157.5,0.52,169
-62.5,162.5,0.6,170
-62.5,167.5,0.63,173
-62.5,172.5,0.61,173
-62.5,177.5,0.6,173
-62.5,182.5,0.58,171
-62.5,187.5,0.55,162
-62.5,192.5,0.5,156
-62.5,197.5,0.43,145
-62.5,202.5,0.35,129
-62.5,207.5,0.31,120
-62.5,212.5,0.36,123
-62.5,217.5,0.32,118
-62.5,222.5,0.26,112
-62.5,227.5,0.21,109
-62.5,232.5,0.18,113
-62.5,237.5,0.15,112
-62.5,242.5,0.07,104
-62.5,247.5,0.01,101
-62.5,252.5,-0.18,83
-62.5,257.5,-0.1,91
-62.5,262.5,-0.13,89
-62.5,267.5,-0.2,84
-62.5,272.5,-0.23,90
-62.5,277.5,-0.2,92
-62.5,282.5,-0.21,95
-62.5,287.5,-0.21,83
-62.5,292.5,-0.17,82
-62.5,297.5,-0.06,95
-62.5,302.5,0.01,109
-62.5,307.5,0.1,119
-62.5,312.5,0.28,129
-62.5,317.5,0.22,140
-62.5,322.5,0.14,136
-62.5,327.5,0.22,143
-62.5,332.5,0.26,150
-62.5,337.5,0.27,157
-62.5,342.5,0.3,164
-62.5,347.5,0.42,170
-62.5,352.5,0.47,173
-62.5,357.5,0.44,172
-57.5,2.5,0.52,175
-57.5,7.5,0.53,176
-57.5,12.5,0.52,176
-57.5,17.5,0.51,176
-57.5,22.5,0.48,176
-57.5,27.5,0.46,176
-57.5,32.5,0.4,175
-57.5,37.5,0.31,174
-57.5,42.5,0.25,170
-57.5,47.5,0.17,166
-57.5,52.5,0.14,161
-57.5,57.5,0.16,164
-57.5,62.5,0.16,162
-57.5,67.5,0.14,158
-57.5,72.5,0.17,161
-57.5,77.5,0.23,168
-57.5,82.5,0.32,173
-57.5,87.5,0.4,175
-57.5,92.5,0.42,176
-57.5,97.5,0.46,176
-57.5,102.5,0.53,175
-57.5,107.5,0.52,174
-57.5,112.5,0.47,174
-57.5,117.5,0.45,173
-57.5,122.5,0.43,170
-57.5,127.5,0.42,167
-57.5,132.5,0.33,155
-57.5,137.5,0.21,146
-57.5,142.5,0.25,145
-57.5,147.5,0.44,157
-57.5,152.5,0.62,162
-57.5,157.5,0.83,168
-57.5,162.5,1.01,172
-57.5,167.5,1.06,175
-57.5,172.5,0.98,175
-57.5,177.5,0.84,175
-57.5,182.5,0.83,175
-57.5,187.5,0.81,175
-57.5,192.5,0.8,170
-57.5,197.5,0.76,164
-57.5,202.5,0.64,160
-57.5,207.5,0.45,142
-57.5,212.5,0.41,135
-57.5,217.5,0.44,139
-57.5,222.5,0.36,127
-57.5,227.5,0.43,130
-57.5,232.5,0.44,135
-57.5,237.5,0.35,133
-57.5,242.5,0.27,129
-57.5,247.5,0.2,128
-57.5,252.5,0.09,115
-57.5,257.5,-0.02,106
-57.5,262.5,-0.09,98
-57.5,267.5,-0.17,95
-57.5,272.5,-0.23,84
-57.5,277.5,-0.24,84
-57.5,282.5,-0.25,79
-57.5,287.5,-0.27,63
-57.5,292.5,-0.24,69
-57.5,297.5,-0.13,85
-57.5,302.5,-0.16,86
-57.5,307.5,-0.17,89
-57.5,312.5,-0.1,107
-57.5,317.5,-0.02,116
-57.5,322.5,0.03,117
-57.5,327.5,0.17,134
-57.5,332.5,0.21,141
-57.5,337.5,0.2,140
-57.5,342.5,0.26,145
-57.5,347.5,0.36,161
-57.5,352.5,0.46,171
-57.5,357.5,0.49,173
-52.5,2.5,0.29,161
-52.5,7.5,0.42,170
-52.5,12.5,0.49,175
-52.5,17.5,0.51,175
-52.5,22.5,0.52,175
-52.5,27.5,0.53,175
-52.5,32.5,0.47,173
-52.5,37.5,0.39,171
-52.5,42.5,0.32,170
-52.5,47.5,0.21,164
-52.5,52.5,0.15,161
-52.5,57.5,0.11,156
-52.5,62.5,0.11,159
-52.5,67.5,0.08,154
-52.5,72.5,0.09,155
-52.5,77.5,0.17,160
-52.5,82.5,0.26,169
-52.5,87.5,0.31,169
-52.5,92.5,0.37,173
-52.5,97.5,0.47,176
-52.5,102.5,0.52,176
-52.5,107.5,0.53,175
-52.5,112.5,0.52,175
-52.5,117.5,0.52,175
-52.5,122.5,0.41,174
-52.5,127.5,0.46,175
-52.5,132.5,0.45,175
-52.5,137.5,0.4,168
-52.5,142.5,0.49,168
-52.5,147.5,0.68,171
-52.5,152.5,0.79,173
-52.5,157.5,0.87,175
-52.5,162.5,1.1,176
-52.5,167.5,1.05,174
-52.5,172.5,1.06,175
-52.5,177.5,0.93,175
-52.5,182.5,0.86,173
-52.5,187.5,0.9,174
-52.5,192.5,0.97,174
-52.5,197.5,1.03,172
-52.5,202.5,0.99,172
-52.5,207.5,0.85,170
-52.5,212.5,0.73,168
-52.5,217.5,0.68,163
-52.5,222.5,0.54,155
-52.5,227.5,0.51,146
-52.5,232.5,0.47,145
-52.5,237.5,0.38,138
-52.5,242.5,0.29,134
-52.5,247.5,0.11,130
-52.5,252.5,-0.05,115
-52.5,257.5,-0.07,110
-52.5,262.5,-0.05,113
-52.5,267.5,-0.09,111
-52.5,272.5,-0.13,102
-52.5,277.5,-0.2,91
-52.5,282.5,-0.28,77
-52.5,287.5,-0.26,78
-52.5,292.5,-0.23,82
-52.5,297.5,-0.2,98
-52.5,302.5,-0.11,115
-52.5,307.5,-0.12,117
-52.5,312.5,-0.08,133
-52.5,317.5,-0.11,126
-52.5,322.5,-0.06,118
-52.5,327.5,-0.05,115
-52.5,332.5,-0.12,105
-52.5,337.5,-0.14,98
-52.5,342.5,-0.04,102
-52.5,347.5,0.12,130
-52.5,352.5,0.22,143
-52.5,357.5,0.21,150
-47.5,2.5,-0.11,117
-47.5,7.5,0.11,150
-47.5,12.5,0.33,162
-47.5,17.5,0.45,165
-47.5,22.5,0.7,171
-47.5,27.5,0.7,168
-47.5,32.5,0.5,168
-47.5,37.5,0.24,164
-47.5,42.5,0.16,160
-47.5,47.5,0.08,155
-47.5,52.5,0.06,153
-47.5,57.5,0,147
-47.5,62.5,-0.04,144
-47.5,67.5,-0.12,137
-47.5,72.5,-0.1,140
-47.5,77.5,-0.02,146
-47.5,82.5,-0.03,148
-47.5,87.5,0.11,161
-47.5,92.5,0.33,169
-47.5,97.5,0.45,173
-47.5,102.5,0.41,173
-47.5,107.5,0.4,172
-47.5,112.5,0.39,174
-47.5,117.5,0.38,173
-47.5,122.5,0.37,172
-47.5,127.5,0.46,171
-47.5,132.5,0.48,172
-47.5,137.5,0.55,173
-47.5,142.5,0.69,172
-47.5,147.5,0.79,169
-47.5,152.5,0.84,173
-47.5,157.5,1.02,175
-47.5,162.5,1.1,173
-47.5,167.5,1.07,173
-47.5,172.5,0.92,172
-47.5,177.5,0.71,168
-47.5,182.5,0.49,162
-47.5,187.5,0.62,164
-47.5,192.5,0.79,168
-47.5,197.5,0.93,169
-47.5,202.5,1.1,171
-47.5,207.5,1.23,173
-47.5,212.5,1.28,174
-47.5,217.5,1.18,172
-47.5,222.5,1.07,170
-47.5,227.5,0.99,170
-47.5,232.5,0.9,166
-47.5,237.5,0.69,158
-47.5,242.5,0.46,153
-47.5,247.5,0.1,134
-47.5,252.5,-0.11,119
-47.5,257.5,-0.16,113
-47.5,262.5,-0.12,113
-47.5,267.5,-0.05,113
-47.5,272.5,-0.04,116
-47.5,277.5,-0.14,108
-47.5,282.5,-0.22,94
-47.5,287.5,-0.28,96
-47.5,292.5,-0.03,121
-47.5,297.5,-0.01,135
-47.5,302.5,0.12,143
-47.5,307.5,0.2,155
-47.5,312.5,0.19,155
-47.5,317.5,0.11,154
-47.5,322.5,0.07,141
-47.5,327.5,-0.07,121
-47.5,332.5,-0.18,104
-47.5,337.5,-0.33,87
-47.5,342.5,-0.3,84
-47.5,347.5,-0.19,97
-47.5,352.5,-0.18,105
-47.5,357.5,-0.18,107
-42.5,2.5,-0.38,96
-42.5,7.5,-0.3,112
-42.5,12.5,-0.13,134
-42.5,17.5,0.22,152
-42.5,22.5,0.98,169
-42.5,27.5,0.99,169
-42.5,32.5,0.67,166
-42.5,37.5,0.37,162
-42.5,42.5,0.16,158
-42.5,47.5,-0.11,141
-42.5,52.5,0.06,154
-42.5,57.5,0.1,151
-42.5,62.5,-0,146
-42.5,67.5,-0.14,138
-42.5,72.5,-0.21,134
-42.5,77.5,-0.1,142
-42.5,82.5,-0.18,139
-42.5,87.5,-0.14,140
-42.5,92.5,0.04,149
-42.5,97.5,0.23,161
-42.5,102.5,0.32,162
-42.5,107.5,0.37,165
-42.5,112.5,0.36,168
-42.5,117.5,0.38,165
-42.5,122.5,0.49,170
-42.5,127.5,0.57,171
-42.5,132.5,0.65,174
-42.5,137.5,0.79,173
-42.5,142.5,1.07,174
-42.5,147.5,1.21,173
-42.5,152.5,1.17,175
-42.5,157.5,1.22,175
-42.5,162.5,1.2,172
-42.5,167.5,1.08,169
-42.5,172.5,0.78,165
-42.5,177.5,0.52,160
-42.5,182.5,0.35,158
-42.5,187.5,0.41,156
-42.5,192.5,0.5,160
-42.5,197.5,0.7,165
-42.5,202.5,1.09,171
-42.5,207.5,1.44,173
-42.5,212.5,1.62,176
-42.5,217.5,1.68,176
-42.5,222.5,1.68,176
-42.5,227.5,1.57,175
-42.5,232.5,1.26,174
-42.5,237.5,0.88,165
-42.5,242.5,0.51,153
-42.5,247.5,0.03,127
-42.5,252.5,-0.2,112
-42.5,257.5,-0.27,101
-42.5,262.5,-0.22,107
-42.5,267.5,-0.14,114
-42.5,272.5,0,127
-42.5,277.5,0.11,141
-42.5,282.5,0.16,145
-42.5,287.5,0.34,158
-42.5,292.5,0.74,160
-42.5,297.5,0.36,159
-42.5,302.5,0.42,160
-42.5,307.5,0.61,165
-42.5,312.5,0.66,169
-42.5,317.5,0.61,168
-42.5,322.5,0.42,163
-42.5,327.5,0.28,154
-42.5,332.5,0.18,136
-42.5,337.5,-0.1,110
-42.5,342.5,-0.25,97
-42.5,347.5,-0.29,97
-42.5,352.5,-0.25,110
-42.5,357.5,-0.36,98
-37.5,2.5,-0.27,115
-37.5,7.5,-0.31,118
-37.5,12.5,-0.15,129
-37.5,17.5,0.17,158
-37.5,22.5,0.73,175
-37.5,27.5,0.81,175
-37.5,32.5,0.68,173
-37.5,37.5,0.47,168
-37.5,42.5,0.3,165
-37.5,47.5,0.06,151
-37.5,52.5,0.09,156
-37.5,57.5,0.14,154
-37.5,62.5,0.08,149
-37.5,67.5,-0.03,137
-37.5,72.5,-0.09,133
-37.5,77.5,-0.09,135
-37.5,82.5,-0.27,118
-37.5,87.5,-0.33,114
-37.5,92.5,-0.22,124
-37.5,97.5,-0.08,135
-37.5,102.5,0.11,144
-37.5,107.5,0.37,159
-37.5,112.5,0.54,164
-37.5,117.5,0.56,170
-37.5,122.5,0.59,172
-37.5,127.5,0.59,173
-37.5,132.5,0.66,174
-37.5,137.5,0.97,176
-37.5,142.5,1.92,176
-37.5,147.5,2.07,176
-37.5,152.5,1.31,176
-37.5,157.5,1.2,176
-37.5,162.5,1.14,175
-37.5,167.5,1.04,171
-37.5,172.5,0.79,169
-37.5,177.5,0.52,162
-37.5,182.5,0.27,157
-37.5,187.5,0.16,149
-37.5,192.5,0.17,147
-37.5,197.5,0.36,155
-37.5,202.5,0.68,167
-37.5,207.5,1.1,174
-37.5,212.5,1.36,176
-37.5,217.5,1.52,176
-37.5,222.5,1.63,176
-37.5,227.5,1.51,175
-37.5,232.5,1.09,171
-37.5,237.5,0.63,154
-37.5,242.5,0.26,130
-37.5,247.5,-0.05,120
-37.5,252.5,-0.21,106
-37.5,257.5,-0.36,97
-37.5,262.5,-0.22,105
-37.5,267.5,-0.01,125
-37.5,272.5,0.22,140
-37.5,277.5,0.47,158
-37.5,282.5,0.47,164
-37.5,287.5,0.55,164
-37.5,292.5,0.27,140
-37.5,297.5,0.32,143
-37.5,302.5,0.87,168
-37.5,307.5,1.17,175
-37.5,312.5,1.13,176
-37.5,317.5,1.19,176
-37.5,322.5,1.06,175
-37.5,327.5,0.97,174
-37.5,332.5,0.87,172
-37.5,337.5,0.61,164
-37.5,342.5,0.39,148
-37.5,347.5,0.2,133
-37.5,352.5,0.04,127
-37.5,357.5,-0.15,120
-32.5,2.5,0.14,150
-32.5,7.5,0.17,159
-32.5,12.5,0.16,152
-32.5,17.5,0.44,171
-32.5,22.5,1.04,174
-32.5,27.5,1.05,176
-32.5,32.5,0.54,176
-32.5,37.5,0.28,168
-32.5,42.5,0.26,160
-32.5,47.5,0.29,160
-32.5,52.5,0.4,166
-32.5,57.5,0.51,165
-32.5,62.5,0.52,160
-32.5,67.5,0.51,152
-32.5,72.5,0.4,151
-32.5,77.5,0.27,146
-32.5,82.5,0.19,138
-32.5,87.5,0.1,135
-32.5,92.5,0.16,140
-32.5,97.5,0.16,139
-32.5,102.5,0.3,153
-32.5,107.5,0.72,171
-32.5,112.5,1.02,173
-32.5,117.5,1.53,175
-32.5,122.5,2.05,176
-32.5,127.5,0.99,176
-32.5,132.5,1.18,176
-32.5,137.5,3,176
-32.5,142.5,4.06,176
-32.5,147.5,3.35,176
-32.5,152.5,1.3,176
-32.5,157.5,0.77,174
-32.5,162.5,0.72,173
-32.5,167.5,0.63,172
-32.5,172.5,0.39,161
-32.5,177.5,0.11,146
-32.5,182.5,-0.04,133
-32.5,187.5,-0.12,124
-32.5,192.5,-0.11,132
-32.5,197.5,0.1,149
-32.5,202.5,0.45,162
-32.5,207.5,0.8,172
-32.5,212.5,0.95,173
-32.5,217.5,1.11,174
-32.5,222.5,1.36,176
-32.5,227.5,1.4,176
-32.5,232.5,1.04,165
-32.5,237.5,0.63,155
-32.5,242.5,0.29,144
-32.5,247.5,0.05,128
-32.5,252.5,0.06,132
-32.5,257.5,0.01,131
-32.5,262.5,0.16,141
-32.5,267.5,0.41,152
-32.5,272.5,0.61,165
-32.5,277.5,0.69,168
-32.5,282.5,0.47,162
-32.5,287.5,0.29,153
-32.5,292.5,0.05,140
-32.5,297.5,0.7,146
-32.5,302.5,0.94,164
-32.5,307.5,1.13,173
-32.5,312.5,1.45,176
-32.5,317.5,1.6,176
-32.5,322.5,1.6,176
-32.5,327.5,1.5,176
-32.5,332.5,1.3,175
-32.5,337.5,1.01,174
-32.5,342.5,0.76,169
-32.5,347.5,0.59,165
-32.5,352.5,0.35,158
-32.5,357.5,0.16,153
-27.5,2.5,0.4,166
-27.5,7.5,0.35,164
-27.5,12.5,0.28,156
-27.5,17.5,0.24,162
-27.5,22.5,0.49,161
-27.5,27.5,0.72,166
-27.5,32.5,0.29,163
-27.5,37.5,0.08,148
-27.5,42.5,0.19,156
-27.5,47.5,0.53,168
-27.5,52.5,0.65,169
-27.5,57.5,0.85,172
-27.5,62.5,1.03,171
-27.5,67.5,1.03,171
-27.5,72.5,0.96,173
-27.5,77.5,0.85,175
-27.5,82.5,0.74,168
-27.5,87.5,0.61,165
-27.5,92.5,0.74,167
-27.5,97.5,0.79,169
-27.5,102.5,0.72,173
-27.5,107.5,1.02,174
-27.5,112.5,1.29,174
-27.5,117.5,2.53,175
-27.5,122.5,3.27,175
-27.5,127.5,2.73,173
-27.5,132.5,3.24,176
-27.5,137.5,3.44,176
-27.5,142.5,3.08,176
-27.5,147.5,1.76,166
-27.5,152.5,0.42,164
-27.5,157.5,0.23,158
-27.5,162.5,0.15,156
-27.5,167.5,0.11,150
-27.5,172.5,-0.13,118
-27.5,177.5,-0.27,103
-27.5,182.5,-0.25,115
-27.5,187.5,-0.18,116
-27.5,192.5,-0.1,127
-27.5,197.5,0.03,137
-27.5,202.5,0.33,155
